N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
model_1,500,1,1,0.8808686157952201,0.8612849016810177,0.866758299391816,0.5059665871121718,0.6712904073699988,0.5720201954359571
model_2,500,2,1,0.8823243964576004,0.8673609731152023,0.868310496346721,0.49940334128878283,0.7140869575329555,0.5802394388344599
model_3,500,3,1,0.8524808928788062,0.8145010413102408,0.8278993789393003,0.4146778042959427,0.4544791539670645,0.4105802910251592
model_4,500,1,2,0.9022200655101298,0.8917064500922013,0.892656183811571,0.6270883054892601,0.6879926844105237,0.6372017505359445
model_5,500,2,2,0.9207812689554774,0.9202307388587363,0.9194656417256382,0.752983293556086,0.7663057245599794,0.7545447903746131
model_6,500,3,2,0.9118039548707995,0.9201854197502622,0.9143834713689317,0.7344868735083532,0.7544609924050931,0.7365795713664903
model_7,800,1,2,0.9025840106757249,0.9069733428732405,0.9011958528666936,0.6784009546539379,0.7182254751245943,0.680714125532983
model_8,800,2,2,0.9269683367705932,0.923658887598761,0.9235243440149112,0.7106205250596659,0.8403660995681598,0.768105153477827
model_9,800,3,2,0.9253912410530146,0.9267879372334167,0.9252089560602124,0.7613365155131265,0.7939996757954667,0.7733809520088949
